id,name,district,state,population,lat,lon,area
271,Bottrop,Urban district,Nordrhein-Westfalen,117388,51.52472,6.92278,100.7
272,Boxberg,Main-Tauber-Kreis,Baden-Württemberg,6718,49.48139,9.64167,101.81
273,Brackenheim,Heilbronn,Baden-Württemberg,16086,49.083,9.067,45.74
274,Brakel,Höxter,Nordrhein-Westfalen,16125,51.717,9.183,173.74
275,Brake,Wesermarsch,Niedersachsen,14824,53.333,8.483,38.18
276,Bramsche,Osnabrück,Niedersachsen,31225,52.4,7.983,183.32
277,Brand-Erbisdorf,Mittelsachsen,Sachsen,9145,50.86889,13.32194,46.24
278,Brandenburg an der Havel,Urban district,Brandenburg,72040,52.41667,12.53333,228.8
279,Brandis,Leipzig,Sachsen,9638,51.33472,12.60889,34.81
280,Braubach,Rhein-Lahn-Kreis,Rheinland-Pfalz,2954,50.27472,7.64611,20.26
281,Braunfels,Lahn-Dill-Kreis,Hessen,11007,50.517,8.383,47.29
282,Braunlage,Goslar,Niedersachsen,5763,51.72694,10.61194,31.55
283,Braunsbedra,Saalekreis,Sachsen-Anhalt,10426,51.283,11.9,74.34
284,Breckerfeld,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,8912,51.267,7.467,59.0
285,BredstedtBräist / Bredsted,Nordfriesland,Schleswig-Holstein,5633,54.62,8.96444,9.75
286,Breisach,Breisgau-Hochschwarzwald,Baden-Württemberg,15439,48.033,7.583,54.58
287,Bremen,,Bremen,566573,53.083,8.8,326.73
288,Bremerhaven,,Bremen,113557,53.55,8.58333,93.82
289,Bremervörde,Rotenburg (Wümme),Niedersachsen,18564,53.483,9.133,150.18
290,Bretten,Karlsruhe,Baden-Württemberg,29538,49.03639,8.70611,71.12
291,Breuberg,Odenwaldkreis,Hessen,7496,49.81722,9.035,30.76
292,Brilon,Hochsauerlandkreis,Nordrhein-Westfalen,25336,51.39556,8.56778,228.95
293,Brotterode-Trusetal,Schmalkalden-Meiningen,Thüringen,5987,50.8249417,10.4456306,49.69
294,Bruchköbel,Main-Kinzig-Kreis,Hessen,20512,50.183,8.917,29.67
295,Bruchsal,Karlsruhe,Baden-Württemberg,45364,49.133,8.6,93.02
296,Brunsbüttel,Dithmarschen,Schleswig-Holstein,12364,53.89639,9.13861,65.24
297,Brunswick,Urban district,Niedersachsen,248561,52.267,10.517,192.13
298,Bräunlingen,Schwarzwald-Baar-Kreis,Baden-Württemberg,5898,47.92972,8.44806,62.1
299,Brück,Potsdam-Mittelmark,Brandenburg,3945,52.2,12.767,85.71
300,Brüel,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,2587,53.717,11.717,27.3
301,Brühl,Rhein-Erft-Kreis,Nordrhein-Westfalen,43673,50.833,6.9,36.12
302,Brüssow,Uckermark,Brandenburg,1804,53.4,14.13333,101.02
303,Buchen,Neckar-Odenwald-Kreis,Baden-Württemberg,17773,49.52167,9.32333,138.99
304,Buchholz in der Nordheide,Harburg,Niedersachsen,40091,53.317,9.867,74.62
305,Buchloe,Ostallgäu,Bayern,13406,48.0375,10.725,36.16
306,Buckow,Märkisch-Oderland,Brandenburg,1474,52.567,14.083,14.31
307,Burg Stargard,Mecklenburgische Seenplatte,Mecklenburg-Western Pomerania,5359,53.483,13.3,76.55
